Area,Year,Room,Total Price,PPA,Floor,Location,Garage,WareHouse,Elevator
100,1382,2,2000000000,20000000,3,mm khmyny ,True,False,False

81,1385,2,1780000000,21975000,3,mm khmyny ,True,True,False

95,1392,2,2450000000,25789000,2,mm khmyny ,True,True,False

83,1395,2,2200000000,26506000,0,mm khmyny ,True,False,True

83,1392,2,2000000000,24096000,0,mm khmyny ,True,True,True

75,1385,2,1500000000,20000000,1,mm khmyny ,True,True,False

82,1392,2,1886000000,23000000,3,mm khmyny ,True,True,True

130,1382,3,2730000000,21000000,1,mm khmyny ,True,True,False

82,1394,2,1599000000,19500000,2,mm khmyny ,False,False,True

86,1394,2,2020000000,23488000,3,mm khmyny ,True,True,True

86,1401,2,1390000000,16162000,2,mm khmyny ,False,True,True

125,1398,2,4000000000,32000000,3,mydn mm khmyny ,True,True,True

75,1385,2,1600000000,21333000,1,mm khmyny ,True,True,False

78,1391,2,2050000000,26282000,2,mm khmyny ,False,True,True

90,1401,2,2880000000,32000000,2,mm khmyny ,True,True,True

75,1386,2,1650000000,22000000,1,mm khmyny ,True,True,False

85,1394,2,1670000000,19647000,2,mm khmyny ,False,True,True

145,1401,3,3850000000,26551000,6,mm khmyny ,True,True,True

92,1395,2,1500000000,16304000,2,mm khmyny ,False,False,False

117,1401,2,3744000000,32000000,3,mm khmyny ,True,True,True

110,1401,2,3740000000,34000000,4,blwr mm khmyny ,True,True,True

95,1398,2,3500000000,36842000,2,mm rD ,True,True,True

75,1401,2,2470000000,32933000,3,mm rD ,True,True,True

103,drn,2,4650000000,45145000,3,mm rD ,True,True,True

105,1401,3,4300000000,40952000,4,mm rD ,True,True,True

81,1401,2,3200000000,39506000,3,mm rD ,True,True,True

115,1401,2,5700000000,49565000,0,mm rD ,True,True,True

160,1401,3,3,6,09153188305,mm rD ,True,True,True

90,1399,2,2400000000,26666000,4,mm rD ,True,True,True

200,1401,3,6000000000,30000000,5,mm rD ,True,True,True

90,1401,2,3600000000,40000000,3,mm rD ,True,True,True

135,1401,2,5800000000,42962000,3,mm rD ,True,True,True

77,1401,2,3234000000,42000000,1,mm rD ,True,True,True

70,1401,1,3150000000,45000000,0,mm rD ,True,True,True

93,1395,2,3000000000,32258000,2,mm rD ,True,True,True

90,1391,2,3000000000,33333000,2,mm rD ,True,True,True

125,1400,2,3,5,09153188305,mm rD ,True,True,True

185,1401,3,7400000000,40000000,4,mm rD ,True,True,True

175,1401,3,5250000000,30000000,3,mm rD ,True,True,True

85,1401,2,3400000000,40000000,3,mm rD ,True,True,True

96,1390,2,2400000000,25000000,2,mm rD ,False,True,True

90,1396,2,2880000000,32000000,3,mm rD ,True,True,True

65,1396,1,2600000000,40000000,3,mm rD ,True,True,True

90,1397,1,650000000,7222000,2,myrabd ,True,False,False

85,1392,2,1300000000,15294000,6,bzrgrh hshmy rfsnjny (mythq) (bzrgrh pymbr `Zm) ,True,False,True

77,1401,2,577000000,7493000,0,myryh ,False,False,False

78,1392,2,1350000000,17307000,4,myryh ,True,False,True

80,1395,2,465000000,5812000,0,myryh ,False,False,False

87,1399,2,1800000000,20689000,1,myryh ,True,True,True

95,1401,2,1680000000,17684000,1,myryh ,True,True,True

105,1401,2,1360000000,12952000,3,nqlb ,True,True,True

23,1395,3,520000000,22608000,0,blwr shhyd Slny ,True,True,False

180,1401,3,2250000000,12500000,5,nqlb ,True,True,True

170,1394,2,2300000000,13529000,5,blwr shhyd mftH (sy mtry Tlb) (blwr Tbrsy jnwby) ,True,True,True

165,1399,3,3000000000,18181000,6,ythr ,True,True,True

62,1396,1,750000000,12096000,0,ythr ,False,False,False

200,1398,3,5000000000,25000000,0,mydn bwryHn (khybn shhyd `lymrdny) ,True,True,True

80,1390,1,900000000,11250000,2,blwr mt (blwr shhyd mftH) ,False,False,False

126,1395,2,1720000000,13650000,3,ythr ,False,False,True

60,1399,1,760000000,12666000,2,ythr ,False,True,False

160,1399,3,2500000000,15625000,3,ythr ,True,False,True

300,1401,4,3900000000,13000000,4,ythr ,True,True,True

65,1396,1,830000000,12769000,0,blwr mjlsy shrqy (blwr Tbrsy jnwby) ,False,False,False

120,1399,2,1500000000,12500000,0,ythr ,False,True,False

135,1400,3,2200000000,16296000,5,ythr ,True,True,True

110,1396,3,1700000000,15454000,4,ythr ,False,True,True

160,1401,3,3360000000,21000000,2,ythr ,True,True,True

135,1393,2,1950000000,14444000,1,ythr ,True,True,True

140,1400,3,2550000000,18214000,3,ythr ,True,True,True

135,1400,3,2200000000,16296000,5,ythr ,True,True,True

80,1401,2,700000000,8750000,3,khybn ystgh twbws ,False,True,False

80,1390,2,1250000000,15625000,2,mydn mftH (blwr shhyd mftH) ,False,True,True

60,1401,2,650000000,10833000,0,ythr ,False,True,False

105,1397,2,1250000000,11904000,0,ythr ,False,True,True

70,1395,1,850000000,12142000,0,ythr ,True,False,False

60,1393,1,670000000,11166000,3,khwchh ythrgrn byst w ykhm (kh. ythrgrn) ,False,False,False

85,1395,2,880000000,10352000,0,ythrgrn ,False,False,False

75,1399,2,400000000,5333000,1,mHlh Tlb ,False,True,False

108,1392,1,880000000,8148000,1,ythrgrn ,False,True,False

70,1399,1,770000000,11000000,0,ythrgrn ,False,True,False

80,1390,2,1100000000,13750000,3,ythrgrn ,True,False,False

100,1401,2,850000000,8500000,2,ythrgrn ,False,False,False

90,1391,2,900000000,10000000,2,ythrgrn ,False,True,False

60,1394,1,715000000,11916000,0,ythrgrn ,False,True,False

85,1395,2,880000000,10352000,1,ythrgrn ,False,True,False

70,1393,1,740000000,10571000,1,khybn ythrgrn (blwr ayt llh `bdy) ,False,False,False

63,1394,1,640000000,10158000,2,ythrgrn ,False,True,False

55,1390,1,570000000,10363000,1,ythrgrn ,False,False,False

120,1401,2,1350000000,11250000,0,ythrgrn ,True,False,False

85,1398,2,870000000,10235000,2,ythrgrn ,False,True,False

60,1394,1,700000000,11666000,2,ythrgrn ,False,True,True

180,1401,3,2500000000,13888000,5,ythrgrn ,True,True,True

77,1390,2,80000000000,1038961000,3,ythrgrn ,True,True,True

105,1395,3,1050000000,10000000,3,khwchh qy'm hfdhm (kh. qy'm) ,False,False,False

104,1401,2,1400000000,13461000,3,blwr nmz (blwr nmz) ,True,False,False

104,1401,2,1300000000,12500000,4,blwr nmz (blwr nmz) ,True,False,False

100,1399,2,610000000,6100000,3,ywn ,True,False,False

250,1400,4,13400000000,53600000,24,bG mlkhabd ,True,True,True

165,1395,3,7890000000,47818000,3,bG mlkhabd ,True,True,True

330,1401,4,18200000000,55151000,3,bG mlkhabd ,True,True,True

165,1391,3,6100000000,36969000,3,bG mlkhabd ,True,True,True

255,1394,4,13200000000,51764000,1,bG mlkhabd ,True,True,True

100,1401,2,6500000000,65000000,0,bG mlkhabd ,True,True,True

150,1395,3,5400000000,36000000,3,bG mlkhabd ,True,True,True

335,1400,4,21500000000,64179000,6,bG mlkhabd ,True,True,True

325,1401,4,16500000000,50769000,5,bG mlkhabd ,True,True,True

278,1400,4,13400000000,48201000,24,bG mlkhabd ,True,True,True

130,1388,2,5500000000,42307000,2,khwchh frhd swm (kh. frhd) ,True,True,True

178,1401,3,9300000000,52247000,4,bG mlkhabd ,True,True,True

150,1401,3,9500000000,63333000,4,bG mlkhabd ,True,True,True

155,1400,3,7500000000,48387000,5,bG mlkhabd ,True,True,True

142,1392,3,4600000000,32394000,1,bG mlkhabd ,True,True,True

310,1397,4,21000000000,67741000,24,bG mlkhabd ,True,True,True

187,1401,3,8550000000,45721000,4,bG mlkhabd ,True,True,True

160,1397,3,8600000000,53750000,5,bG mlkhabd ,True,True,True

250,1371,2,55000000000,220000000,2,bG mlkhabd ,True,False,False

162,1401,3,10400000000,64197000,2,bG mlkhabd ,True,True,True

180,1401,3,11900000000,66111000,1,bG mlkhabd ,True,True,True

165,1386,3,5500000000,33333000,3,bG mlkhabd ,True,True,True

160,1376,3,5700000000,35625000,3,bG mlkhabd ,True,True,True

130,1390,3,1400000000,10769000,0,bhnr ,True,True,False

1100,1401,3,54000000000,49090000,6,bhnr ,True,True,True

170,1400,3,7550000000,44411000,3,bhnr ,True,True,True

160,1393,3,6300000000,39375000,2,bhnr ,True,True,True

190,1401,3,10260000000,54000000,4,bhnr ,True,True,True

170,1401,3,9300000000,54705000,3,bhnr ,True,True,True

240,1401,3,13000000000,54166000,4,bhnr ,True,True,True

167,1401,3,6600000000,39520000,3,bhnr ,True,True,True

180,1401,3,9800000000,54444000,2,bhnr ,True,True,True

175,1401,3,8600000000,49142000,3,bhnr ,True,True,True

170,1401,3,7600000000,44705000,1,bhnr ,True,True,True

175,1401,3,10500000000,60000000,5,bhnr ,True,True,True

170,1401,3,11400000000,67058000,6,bhnr ,True,True,True

170,1401,3,9500000000,55882000,4,bhnr ,True,True,True

180,1401,3,9900000000,55000000,3,bhnr ,True,True,True

185,1401,3,8500000000,45945000,0,bhnr ,True,True,True

190,1401,3,8900000000,46842000,0,bhnr ,True,True,True

170,1401,3,10000000000,58823000,4,bhnr ,True,True,True

150,1390,3,5400000000,36000000,1,bhnr ,True,True,True

240,1401,3,14100000000,58750000,4,bhnr ,True,True,True

250,1401,3,13750000000,55000000,4,bhnr ,True,True,True

170,1401,3,9000000000,52941000,2,bhnr ,True,True,True

102,1401,2,1300000000,12745000,4,bll ,True,True,True

70,1395,1,750000000,10714000,16,bll ,False,True,False

114,1390,1,1500000000,13157000,4,bll ,True,True,False

110,1385,2,850000000,7727000,1,mydn mm Hsyn (blwr ayt llh `bdy) ,False,False,False

105,1401,2,1360000000,12952000,3,nqlb ,True,True,True

23,1395,bdwn tq,520000000,22608000,0,blwr shhyd Slny ,True,True,False

180,1401,3,2250000000,12500000,5,nqlb ,True,True,True

170,1394,2,2300000000,13529000,5,blwr shhyd mftH (sy mtry Tlb) (blwr Tbrsy jnwby) ,True,True,True

165,1399,3,3000000000,18181000,6,ythr ,True,True,True

62,1396,1,750000000,12096000,0,ythr ,False,False,False

200,1398,3,5000000000,25000000,0,mydn bwryHn (khybn shhyd `lymrdny) ,True,True,True

80,1390,1,900000000,11250000,2,blwr mt (blwr shhyd mftH) ,False,False,False

126,1395,2,1720000000,13650000,3,ythr ,False,False,True

60,1399,1,760000000,12666000,2,ythr ,False,True,False

160,1399,3,2500000000,15625000,3,ythr ,True,False,True

300,1401,4,3900000000,13000000,4,ythr ,True,True,True

65,1396,1,830000000,12769000,0,blwr mjlsy shrqy (blwr Tbrsy jnwby) ,False,False,False

120,1399,2,1500000000,12500000,0,ythr ,False,True,False

135,1400,3,2200000000,16296000,5,ythr ,True,True,True

110,1396,3,1700000000,15454000,4,ythr ,False,True,True

160,1401,3,3360000000,21000000,2,ythr ,True,True,True

135,1393,2,1950000000,14444000,1,ythr ,True,True,True

140,1400,3,2550000000,18214000,3,ythr ,True,True,True

135,1400,3,2200000000,16296000,5,ythr ,True,True,True

80,1401,2,700000000,8750000,3,khybn ystgh twbws ,False,True,False

80,1390,2,1250000000,15625000,2,mydn mftH (blwr shhyd mftH) ,False,True,True

60,1401,2,650000000,10833000,0,ythr ,False,True,False

105,1397,2,1250000000,11904000,0,ythr ,False,True,True

70,1395,1,850000000,12142000,0,ythr ,True,False,False

60,1393,1,670000000,11166000,3,khwchh ythrgrn byst w ykhm (kh. ythrgrn) ,False,False,False

85,1395,2,880000000,10352000,0,ythrgrn ,False,False,False

75,1399,2,400000000,5333000,1,mHlh Tlb ,False,True,False

108,1392,1,880000000,8148000,1,ythrgrn ,False,True,False

70,1399,1,770000000,11000000,0,ythrgrn ,False,True,False

80,1390,2,1100000000,13750000,3,ythrgrn ,True,False,False

100,1401,2,850000000,8500000,2,ythrgrn ,False,False,False

90,1391,2,900000000,10000000,2,ythrgrn ,False,True,False

60,1394,1,715000000,11916000,0,ythrgrn ,False,True,False

85,1395,2,880000000,10352000,1,ythrgrn ,False,True,False

70,1393,1,740000000,10571000,1,khybn ythrgrn (blwr ayt llh `bdy) ,False,False,False

63,1394,1,640000000,10158000,2,ythrgrn ,False,True,False

55,1390,1,570000000,10363000,1,ythrgrn ,False,False,False

120,1401,2,1350000000,11250000,0,ythrgrn ,True,False,False

85,1398,2,870000000,10235000,2,ythrgrn ,False,True,False

60,1394,1,700000000,11666000,2,ythrgrn ,False,True,True

180,1401,3,2500000000,13888000,5,ythrgrn ,True,True,True

77,1390,2,80000000000,1038961000,3,ythrgrn ,True,True,True

105,1395,3,1050000000,10000000,3,khwchh qy'm hfdhm (kh. qy'm) ,False,False,False

104,1401,2,1400000000,13461000,3,blwr nmz (blwr nmz) ,True,False,False

104,1401,2,1300000000,12500000,4,blwr nmz (blwr nmz) ,True,False,False

100,1399,2,610000000,6100000,3,ywn ,True,False,False

250,1400,4,13400000000,53600000,24,bG mlkhabd ,True,True,True

165,1395,3,7890000000,47818000,3,bG mlkhabd ,True,True,True

330,1401,4,18200000000,55151000,3,bG mlkhabd ,True,True,True

165,1391,3,6100000000,36969000,3,bG mlkhabd ,True,True,True

255,1394,4,13200000000,51764000,1,bG mlkhabd ,True,True,True

100,1401,2,6500000000,65000000,0,bG mlkhabd ,True,True,True

150,1395,3,5400000000,36000000,3,bG mlkhabd ,True,True,True

335,1400,4,21500000000,64179000,6,bG mlkhabd ,True,True,True

325,1401,4,16500000000,50769000,5,bG mlkhabd ,True,True,True

278,1400,4,13400000000,48201000,24,bG mlkhabd ,True,True,True

130,1388,2,5500000000,42307000,2,khwchh frhd swm (kh. frhd) ,True,True,True

178,1401,3,9300000000,52247000,4,bG mlkhabd ,True,True,True

150,1401,3,9500000000,63333000,4,bG mlkhabd ,True,True,True

155,1400,3,7500000000,48387000,5,bG mlkhabd ,True,True,True

142,1392,3,4600000000,32394000,1,bG mlkhabd ,True,True,True

310,1397,4,21000000000,67741000,24,bG mlkhabd ,True,True,True

187,1401,3,8550000000,45721000,4,bG mlkhabd ,True,True,True

160,1397,3,8600000000,53750000,5,bG mlkhabd ,True,True,True

250,1371,2,55000000000,220000000,2,bG mlkhabd ,True,False,False

162,1401,3,10400000000,64197000,2,bG mlkhabd ,True,True,True

180,1401,3,11900000000,66111000,1,bG mlkhabd ,True,True,True

165,1386,3,5500000000,33333000,3,bG mlkhabd ,True,True,True

160,1376,3,5700000000,35625000,3,bG mlkhabd ,True,True,True

130,1390,3,1400000000,10769000,0,bhnr ,True,True,False

1100,1401,3,54000000000,49090000,6,bhnr ,True,True,True

170,1400,3,7550000000,44411000,3,bhnr ,True,True,True

160,1393,3,6300000000,39375000,2,bhnr ,True,True,True

190,1401,3,10260000000,54000000,4,bhnr ,True,True,True

170,1401,3,9300000000,54705000,3,bhnr ,True,True,True

240,1401,3,13000000000,54166000,4,bhnr ,True,True,True

167,1401,3,6600000000,39520000,3,bhnr ,True,True,True

180,1401,3,9800000000,54444000,2,bhnr ,True,True,True

175,1401,3,8600000000,49142000,3,bhnr ,True,True,True

170,1401,3,7600000000,44705000,1,bhnr ,True,True,True

175,1401,3,10500000000,60000000,5,bhnr ,True,True,True

170,1401,3,11400000000,67058000,6,bhnr ,True,True,True

170,1401,3,9500000000,55882000,4,bhnr ,True,True,True

180,1401,3,9900000000,55000000,3,bhnr ,True,True,True

185,1401,3,8500000000,45945000,0,bhnr ,True,True,True

190,1401,3,8900000000,46842000,0,bhnr ,True,True,True

170,1401,3,10000000000,58823000,4,bhnr ,True,True,True

150,1390,3,5400000000,36000000,1,bhnr ,True,True,True

240,1401,3,14100000000,58750000,4,bhnr ,True,True,True

250,1401,3,13750000000,55000000,4,bhnr ,True,True,True

170,1401,3,9000000000,52941000,2,bhnr ,True,True,True

102,1401,2,1300000000,12745000,4,bll ,True,True,True

70,1395,1,750000000,10714000,16,bll ,False,True,False

114,1390,1,1500000000,13157000,4,bll ,True,True,False

110,1385,2,850000000,7727000,1,mydn mm Hsyn (blwr ayt llh `bdy) ,False,False,False

